U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,
-0.047419,-0.10286,0,1,0.681,0.681,0.5,0.1,0.113264033
-0.04743,-0.10356,0,1,0.682,0.682,0.5,0.1,0.11390469
-0.047441,-0.10425,0,1,0.683,0.683,0.5,0.1,0.114536942
-0.047452,-0.10495,0,1,0.684,0.684,0.5,0.1,0.115178969
-0.047463,-0.10564,0,1,0.685,0.685,0.5,0.1,0.115812547
-0.047474,-0.10634,0,1,0.686,0.686,0.5,0.1,0.116455898
-0.047485,-0.10703,0,1,0.687,0.687,0.5,0.1,0.11709076
-0.047496,-0.10773,0,1,0.688,0.688,0.5,0.1,0.117735394
-0.047507,-0.10842,0,1,0.689,0.689,0.5,0.1,0.118371498
-0.047518,-0.10912,0,1,0.69,0.69,0.5,0.1,0.119017372
-0.047531,-0.10984,0,1,0.691,0.691,0.5,0.1,0.119683004
-0.047544,-0.11057,0,1,0.692,0.692,0.5,0.1,0.120358451
-0.047557,-0.1113,0,1,0.693,0.693,0.5,0.1,0.121034533
-0.04757,-0.11203,0,1,0.694,0.694,0.5,0.1,0.121711239
-0.047583,-0.11276,0,1,0.695,0.695,0.5,0.1,0.122388559
-0.047597,-0.11349,0,1,0.696,0.696,0.5,0.1,0.12306687
-0.04761,-0.11421,0,1,0.697,0.697,0.5,0.1,0.123736156
-0.047623,-0.11494,0,1,0.698,0.698,0.5,0.1,0.124415247
-0.047636,-0.11567,0,1,0.699,0.699,0.5,0.1,0.125094914
-0.047649,-0.1164,0,1,0.7,0.7,0.5,0.1,0.125775145
-0.047665,-0.11716,0,1,0.701,0.701,0.5,0.1,0.126484852
-0.047681,-0.11793,0,1,0.702,0.702,0.5,0.1,0.127204413
-0.047697,-0.11869,0,1,0.703,0.703,0.5,0.1,0.127915284
-0.047713,-0.11946,0,1,0.704,0.704,0.5,0.1,0.128636006
-0.04773,-0.12022,0,1,0.705,0.705,0.5,0.1,0.129348372
-0.047746,-0.12099,0,1,0.706,0.706,0.5,0.1,0.130070214
-0.047762,-0.12175,0,1,0.707,0.707,0.5,0.1,0.130783298
-0.047778,-0.12252,0,1,0.708,0.708,0.5,0.1,0.131506227
-0.047794,-0.12328,0,1,0.709,0.709,0.5,0.1,0.132220365
-0.047811,-0.12404,0,1,0.71,0.71,0.5,0.1,0.132935373
-0.047831,-0.12485,0,1,0.711,0.711,0.5,0.1,0.133698643
-0.047852,-0.12565,0,1,0.712,0.712,0.5,0.1,0.134453473
-0.047872,-0.12646,0,1,0.713,0.713,0.5,0.1,0.135217824
-0.047893,-0.12726,0,1,0.714,0.714,0.5,0.1,0.1359737
-0.047913,-0.12806,0,1,0.715,0.715,0.5,0.1,0.13672973
-0.047934,-0.12887,0,1,0.716,0.716,0.5,0.1,0.137495983
-0.047954,-0.12967,0,1,0.717,0.717,0.5,0.1,0.138253011
-0.047975,-0.13047,0,1,0.718,0.718,0.5,0.1,0.139010868
-0.047995,-0.13128,0,1,0.719,0.719,0.5,0.1,0.139778247
-0.048016,-0.13208,0,1,0.72,0.72,0.5,0.1,0.140537051
-0.048042,-0.13293,0,1,0.721,0.721,0.5,0.1,0.141345034
-0.048068,-0.13377,0,1,0.722,0.722,0.5,0.1,0.142144101
-0.048093,-0.13462,0,1,0.723,0.723,0.5,0.1,0.142952723
-0.048119,-0.13546,0,1,0.724,0.724,0.5,0.1,0.143752738
-0.048145,-0.13631,0,1,0.725,0.725,0.5,0.1,0.144562641
-0.048171,-0.13715,0,1,0.726,0.726,0.5,0.1,0.145363571
-0.048197,-0.138,0,1,0.727,0.727,0.5,0.1,0.146174385
-0.048223,-0.13884,0,1,0.728,0.728,0.5,0.1,0.1469762
-0.048249,-0.13968,0,1,0.729,0.729,0.5,0.1,0.147778444
-0.048275,-0.14053,0,1,0.73,0.73,0.5,0.1,0.148590567
-0.048307,-0.14142,0,1,0.731,0.731,0.5,0.1,0.149442908
-0.048339,-0.14231,0,1,0.732,0.732,0.5,0.1,0.150295692
-0.048371,-0.14319,0,1,0.733,0.733,0.5,0.1,0.151139438
-0.048404,-0.14408,0,1,0.734,0.734,0.5,0.1,0.1519934
-0.048436,-0.14497,0,1,0.735,0.735,0.5,0.1,0.152847463
-0.048468,-0.14586,0,1,0.736,0.736,0.5,0.1,0.153701941
